Mix	SeqDepth
SimData1554	1000040
SimData1555	2000080
SimData1556	5000200
SimData1557	10000400
SimData1558	20000800
SimData1559	50002000
SimData156	999920
SimData1560	100004000
SimData1561	1000030
SimData1562	1000020
SimData1563	1000010
SimData1564	1000000
SimData1565	1000200
SimData1566	1000180
SimData1567	1000160
SimData1568	1000140
SimData1569	1000120
SimData157	999930
SimData1570	1000100
SimData1571	1000080
SimData1572	2000160
SimData1573	5000400
SimData1574	10000800
SimData1575	20001600
SimData1576	50004000
SimData1577	100008000
SimData1578	1000060
SimData1579	1000040
SimData158	999940
SimData1580	1000020
SimData1581	1000000
SimData1582	999900
SimData1583	999910
SimData1584	999920
SimData1585	999930
SimData1586	999940
SimData1587	999950
SimData1588	999960
SimData1589	1999920
SimData159	999950
SimData1590	4999800
SimData1591	9999600
SimData1592	19999200
SimData1593	49998000
SimData1594	99996000
SimData1595	999970
SimData1596	999980
SimData1597	999990
SimData1598	1000000
SimData1599	1000200
SimData16	1000000
SimData160	999960
SimData1600	1000180
SimData1601	1000160
SimData1602	1000140
SimData1603	1000120
SimData1604	1000100
SimData1605	1000080
SimData1606	2000160
SimData1607	5000400
SimData1608	10000800
SimData1609	20001600
SimData161	1999920
SimData1610	50004000
SimData1611	100008000
SimData1612	1000060
SimData1613	1000040
SimData1614	1000020
SimData1615	1000000
SimData1616	999900
SimData1617	999910
SimData1618	999920
SimData1619	999930
SimData162	4999800
SimData1620	999940
SimData1621	999950
SimData1622	999960
SimData1623	1999920
SimData1624	4999800
SimData1625	9999600
SimData1626	19999200
SimData1627	49998000
SimData1628	99996000
SimData1629	999970
SimData163	9999600
SimData1630	999980
SimData1631	999990
SimData1632	1000000
SimData1633	1000000
SimData1634	1000000
SimData1635	1000000
SimData1636	1000000
SimData1637	1000000
SimData1638	1000000
SimData1639	1000000
SimData164	19999200
SimData1640	2000000
SimData1641	5000000
SimData1642	10000000
SimData1643	20000000
SimData1644	50000000
SimData1645	100000000
SimData1646	1000000
SimData1647	1000000
SimData1648	1000000
SimData1649	1000000
SimData165	49998000
SimData1650	1000000
SimData1651	1000000
SimData1652	1000000
SimData1653	1000000
SimData1654	1000000
SimData1655	1000000
SimData1656	1000000
SimData1657	2000000
SimData1658	5000000
SimData1659	10000000
SimData166	99996000
SimData1660	20000000
SimData1661	50000000
SimData1662	100000000
SimData1663	1000000
SimData1664	1000000
SimData1665	1000000
SimData1666	1000000
SimData1667	1000000
SimData1668	1000000
SimData1669	1000000
SimData167	999970
SimData1670	1000000
SimData1671	1000000
SimData1672	1000000
SimData1673	1000000
SimData1674	2000000
SimData1675	5000000
SimData1676	10000000
SimData1677	20000000
SimData1678	50000000
SimData1679	100000000
SimData168	999980
SimData1680	1000000
SimData1681	1000000
SimData1682	1000000
SimData1683	1000000
SimData1684	1000000
SimData1685	1000000
SimData1686	1000000
SimData1687	1000000
SimData1688	1000000
SimData1689	1000000
SimData169	999990
SimData1690	1000000
SimData1691	2000000
SimData1692	5000000
SimData1693	10000000
SimData1694	20000000
SimData1695	50000000
SimData1696	100000000
SimData1697	1000000
SimData1698	1000000
SimData1699	1000000
SimData17	1000000
SimData170	1000000
SimData1700	1000000
SimData171	1000000
SimData172	1000000
SimData173	1000000
SimData174	1000000
SimData175	1000000
SimData176	1000000
SimData177	1000000
SimData178	2000000
SimData179	5000000
SimData18	1000000
SimData180	10000000
SimData181	20000000
SimData182	50000000
SimData183	100000000
SimData184	1000000
SimData185	1000000
SimData186	1000000
SimData187	1000000
SimData188	1000000
SimData189	1000000
SimData19	1000000
SimData190	1000000
SimData191	1000000
SimData192	1000000
SimData193	1000000
SimData194	1000000
SimData195	2000000
SimData196	5000000
SimData197	10000000
SimData198	20000000
SimData199	50000000
SimData2	1000000
SimData20	1000000
SimData200	100000000
SimData201	1000000
SimData202	1000000
SimData203	1000000
SimData204	1000000
SimData205	999900
SimData206	999910
SimData207	999920
SimData208	999930
SimData209	999940
SimData21	1000000
SimData210	999950
SimData211	999960
SimData212	1999920
SimData213	4999800
SimData214	9999600
SimData215	19999200
SimData216	49998000
SimData217	99996000
SimData218	999970
SimData219	999980
SimData22	1000000
SimData220	999990
SimData221	1000000
SimData222	1000000
SimData223	1000000
SimData224	1000000
SimData225	1000000
SimData226	1000000
SimData227	1000000
SimData228	1000000
SimData229	2000000
SimData23	1000000
SimData230	5000000
SimData231	10000000
SimData232	20000000
SimData233	50000000
SimData234	100000000
SimData235	1000000
SimData236	1000000
SimData237	1000000
SimData238	1000000
SimData239	1000100
SimData24	1000000
SimData240	1000090
SimData241	1000080
SimData242	1000070
SimData243	1000060
SimData244	1000050
SimData245	1000040
SimData246	2000080
SimData247	5000200
SimData248	10000400
SimData249	20000800
SimData25	2000000
SimData250	50002000
SimData251	100004000
SimData252	1000030
SimData253	1000020
SimData254	1000010
SimData255	1000000
SimData256	999900
SimData257	999910
SimData258	999920
SimData259	999930
SimData26	5000000
SimData260	999940
SimData261	999950
SimData262	999960
SimData263	1999920
SimData264	4999800
SimData265	9999600
SimData266	19999200
SimData267	49998000
SimData268	99996000
SimData269	999970
SimData27	10000000
SimData270	999980
SimData271	999990
SimData272	1000000
SimData273	999900
SimData274	999910
SimData275	999920
SimData276	999930
SimData277	999940
SimData278	999950
SimData279	999960
SimData28	20000000
SimData280	1999920
SimData281	4999800
SimData282	9999600
SimData283	19999200
SimData284	49998000
SimData285	99996000
SimData286	999970
SimData287	999980
SimData288	999990
SimData289	1000000
SimData29	50000000
SimData290	1000000
SimData291	1000000
SimData292	1000000
SimData293	1000000
SimData294	1000000
SimData295	1000000
SimData296	1000000
SimData297	2000000
SimData298	5000000
SimData299	10000000
SimData3	1000000
SimData30	100000000
SimData300	20000000
SimData301	50000000
SimData302	100000000
SimData303	1000000
SimData304	1000000
SimData305	1000000
SimData306	1000000
SimData307	999900
SimData308	999910
SimData309	999920
SimData31	1000000
SimData310	999930
SimData311	999940
SimData312	999950
SimData313	999960
SimData314	1999920
SimData315	4999800
SimData316	9999600
SimData317	19999200
SimData318	49998000
SimData319	99996000
SimData32	1000000
SimData320	999970
SimData321	999980
SimData322	999990
SimData323	1000000
SimData324	1000000
SimData325	1000000
SimData326	1000000
SimData327	1000000
SimData328	1000000
