Mix	SeqDepth
SimData821	999940
SimData822	999950
SimData823	999960
SimData824	1999920
SimData825	4999800
SimData826	9999600
SimData827	19999200
SimData828	49998000
SimData829	99996000
SimData83	1000020
SimData830	999970
SimData831	999980
SimData832	999990
SimData833	1000000
SimData834	999900
SimData835	999910
SimData836	999920
SimData837	999930
SimData838	999940
SimData839	999950
SimData84	1000010
SimData840	999960
SimData841	1999920
SimData842	4999800
SimData843	9999600
SimData844	19999200
SimData845	49998000
SimData846	99996000
SimData847	999970
SimData848	999980
SimData849	999990
SimData85	1000000
SimData850	1000000
SimData851	1000000
SimData852	1000000
SimData853	1000000
SimData854	1000000
SimData855	1000000
SimData856	1000000
SimData857	1000000
SimData858	2000000
SimData859	5000000
SimData86	999900
SimData860	10000000
SimData861	20000000
SimData862	50000000
SimData863	100000000
SimData864	1000000
SimData865	1000000
SimData866	1000000
SimData867	1000000
SimData868	1000000
SimData869	1000000
SimData87	999910
SimData870	1000000
SimData871	1000000
SimData872	1000000
SimData873	1000000
SimData874	1000000
SimData875	2000000
SimData876	5000000
SimData877	10000000
SimData878	20000000
SimData879	50000000
SimData88	999920
SimData880	100000000
SimData881	1000000
SimData882	1000000
SimData883	1000000
SimData884	1000000
SimData885	999900
SimData886	999910
SimData887	999920
SimData888	999930
SimData889	999940
SimData89	999930
SimData890	999950
SimData891	999960
SimData892	1999920
SimData893	4999800
SimData894	9999600
SimData895	19999200
SimData896	49998000
SimData897	99996000
SimData898	999970
SimData899	999980
SimData9	5000000
SimData90	999940
SimData900	999990
SimData901	1000000
SimData902	1000000
SimData903	1000000
SimData904	1000000
SimData905	1000000
SimData906	1000000
SimData907	1000000
SimData908	1000000
SimData909	2000000
SimData91	999950
SimData910	5000000
SimData911	10000000
SimData912	20000000
SimData913	50000000
SimData914	100000000
SimData915	1000000
SimData916	1000000
SimData917	1000000
SimData918	1000000
SimData919	1000000
SimData92	999960
SimData920	1000000
SimData921	1000000
SimData922	1000000
SimData923	1000000
SimData924	1000000
SimData925	1000000
SimData926	2000000
SimData927	5000000
SimData928	10000000
SimData929	20000000
SimData93	1999920
SimData930	50000000
SimData931	100000000
SimData932	1000000
SimData933	1000000
SimData934	1000000
SimData935	1000000
SimData936	1000200
SimData937	1000180
SimData938	1000160
SimData939	1000140
SimData94	4999800
SimData940	1000120
SimData941	1000100
SimData942	1000080
SimData943	2000160
SimData944	5000400
SimData945	10000800
SimData946	20001600
SimData947	50004000
SimData948	100008000
SimData949	1000060
SimData95	9999600
SimData950	1000040
SimData951	1000020
SimData952	1000000
SimData953	999900
SimData954	999910
SimData955	999920
SimData956	999930
SimData957	999940
SimData958	999950
SimData959	999960
SimData96	19999200
SimData960	1999920
SimData961	4999800
SimData962	9999600
SimData963	19999200
SimData964	49998000
SimData965	99996000
SimData966	999970
SimData967	999980
SimData968	999990
SimData969	1000000
SimData97	49998000
SimData970	999900
SimData971	999910
SimData972	999920
SimData973	999930
SimData974	999940
SimData975	999950
SimData976	999960
SimData977	1999920
SimData978	4999800
SimData979	9999600
SimData98	99996000
SimData980	19999200
SimData981	49998000
SimData982	99996000
SimData983	999970
SimData984	999980
SimData985	999990
SimData986	1000000
SimData987	1000100
SimData988	1000090
SimData989	1000080
SimData99	999970
SimData990	1000070
SimData991	1000060
SimData992	1000050
SimData993	1000040
SimData994	2000080
SimData995	5000200
SimData996	10000400
SimData997	20000800
SimData998	50002000
SimData999	100004000
